Top 100 Features by Category (After Feature Engineering)
============================================================

Feature Engineering Applied: Non-discriminative features removed
Max Features Limit: 3000

Category: economic
------------------------------
Documents in category: 2000

Rank   Feature                        Weight      
12     រដ្ឋាភិបាល                     0.06196079
13     ប្រឆាំង                        0.05993046
14     ក្រសួង                         0.05807401
15     អតីត                           0.05666381
16     រាជ                            0.05615764
17     ប្រធាន                         0.05193685
18     កិច្ចប្រជុំ                    0.04791521
19     សមាជិក                         0.04070589
20     ប្រជាពលរដ្ឋ                    0.03930146
21     ភាគី                           0.03780822
22     សង្គម                          0.03648658
23     អគ្គ                           0.03407300
24     អាស៊ាន                         0.03341581
25     តំបន់                          0.03237580
26     សហរដ្ឋ                         0.03190853
27     អន្តរជាតិ                      0.03067770
28     វិស័យ                          0.03030952
29     ផ្លូវ                          0.02948867
30     ជន                             0.02906479
31     មន្ត្រី                        0.02825135
32     សេដ្ឋកិច្ច                     0.02804290
33     រដ្ឋ                           0.02681527
34     កូវីដ                          0.02636804
35     ពិធី                           0.02601412
36     ពាក់ព័ន្ធ                      0.02486047
37     រឿង                            0.02264962
38     ឡើងវិញ                         0.02180203
39     ក្រោម                          0.02173555
40     ជំងឺ                           0.02169727
41     កំពូល                          0.02105025
42     អះអាង                          0.02007348
43     សកម្មភាព                       0.01983996
44     ពាណិជ្ជកម្ម                    0.01880368
45     ជំរុញ                          0.01849649
46     ករណី                           0.01841007
47     ថ្លែង                          0.01831885
48     ពលរដ្ឋ                         0.01814942
49     មូលដ្ឋាន                       0.01773571
50     ប្រព័ន្ធ                       0.01695955
51     កម្លាំង                        0.01623471
52     ពិភពលោក                        0.01611022
53     ខាងមុខ                         0.01594037
54     អភិវឌ្ឍន៍                      0.01535832
55     គម្រោង                         0.01517008
56     អត់                            0.01462232
57     ចំណុច                          0.01439527
58     ស្ថាប័ន                        0.01436103
59     វិនិយោគ                        0.01419842
60     យោង                            0.01413588
61     សេរី                           0.01381360
62     ឈ្នះ                           0.01373199
63     រស់                            0.01356871
64     យុវជន                          0.01324098
65     ដោយសារ                         0.01294734
66     ផ្ទះ                           0.01216105
67     រក្សា                          0.01212266
68     អាជ្ញាធរ                       0.01175008
69     ក្រុមហ៊ុន                      0.01158585
70     ជនជាតិ                         0.01114881
71     សុវត្ថិភាព                     0.01070267
72     កូន                            0.01031207
73     ដៃ                             0.01028045
74     ប៉ះពាល់                        0.01020588
75     សហគមន៍                         0.01002630
76     ទេសចរណ៍                        0.00985628
77     សកម្មជន                        0.00976656
78     ស៊ីវិល                         0.00952300
79     ដែន                            0.00937651
80     ប្រមាថ                         0.00868161
81     ធនធាន                          0.00794350
82     រោងចក្រ                        0.00780516
83     គ្រួសារ                        0.00779108
84     ប្រឈម                          0.00767011
85     ផ្សាយ                          0.00759739
86     ប្រភព                          0.00757131
87     ប្រសិទ្ធភាព                    0.00753330
88     គ្រឿង                          0.00688892
89     រៀល                            0.00688071
90     ម្ចាស់                         0.00686633
91     សមាគម                          0.00665046
92     កំណើន                          0.00648638
93     ហិរញ្ញវត្ថុ                    0.00630025
94     កសិកម្ម                        0.00615003
95     ទីផ្សារ                        0.00571157
96     កើនឡើង                         0.00560556
97     ធនាគារ                         0.00549946
98     បទល្មើស                        0.00536172
99     ប្រភេទ                         0.00528469
100    ថាមពល                          0.00523582

Actual features saved: 100

============================================================

Category: sport
------------------------------
Documents in category: 2000

Rank   Feature                        Weight      
--------------------------------------------------
1      កីឡាករ                         0.21296587
2      កីឡា                           0.20249963
3      ប្រកួត                         0.14417382
4      បាល់ទាត់                       0.14321707
5      ក្លិប                          0.12057654
6      វគ្គ                           0.10517892
7      ឈ្នះ                           0.09755581
8      ប្រទេស                         0.08770761
9      ម្ចាស់                         0.08686315
10     ខ្សែ                           0.08658581
11     សហព័ន្ធ                        0.08176192
12     មេដាយ                          0.07879766
13     ផ្ទះ                           0.06603017
14     គ្រាប់                         0.06399545
15     កំពូល                          0.06243538
16     ពិភពលោក                        0.05141292
17     ជាតិ                           0.04807844
18     មាស                            0.04016206
19     ប្រភព                          0.03634442
20     ក្រោម                          0.03087873
21     អន្តរជាតិ                      0.02961548
22     ប្រធាន                         0.02944074
23     យុវជន                          0.02782591
24     គ្រឿង                          0.02781790
25     អតីត                           0.02702019
26     យោង                            0.02673154
27     ខាងមុខ                         0.02353758
28     កូន                            0.02247864
29     ពិធី                           0.02167753
30     រឿង                            0.02107956
31     អាស៊ាន                         0.02096262
32     សហរដ្ឋ                         0.02022600
33     ជនជាតិ                         0.02013403
34     តំបន់                          0.01971707
35     ប្រភេទ                         0.01962674
36     សមាជិក                         0.01863302
37     ក្រសួង                         0.01721906
38     ដៃ                             0.01698327
39     អគ្គ                           0.01678587
40     ភ្ញៀវ                          0.01660471
41     រាជ                            0.01580848
42     ដោយសារ                         0.01564243
43     វិស័យ                          0.01472915
44     តេជោ                           0.01428334
45     សង្គម                          0.01369469
46     មន្ត្រី                        0.01222782
47     សមាគម                          0.01216006
48     អះអាង                          0.01204053
49     ក្មេង                          0.01167097
50     បឹង                            0.01150600
51     សែន                            0.01135957
52     រដ្ឋមន្ត្រី                    0.01103774
53     ថ្លែង                          0.01089372
54     ផ្លូវ                          0.01079830
55     នាយក                           0.01076073
56     ក្រុមហ៊ុន                      0.01066389
57     ប្រឆាំង                        0.01050265
58     ប្រព័ន្ធ                       0.01021468
59     ជន                             0.00972305
60     ចំណូល                          0.00954119
61     រដ្ឋ                           0.00937382
62     ជំរុញ                          0.00932800
63     សកម្មភាព                       0.00926720
64     ពាក់ព័ន្ធ                      0.00922450
65     រដ្ឋាភិបាល                     0.00906888
66     ប្រជាជន                        0.00904263
67     ស្ថាប័ន                        0.00871785
68     មូលដ្ឋាន                       0.00867311
69     កម្លាំង                        0.00865240
70     ព្រៃ                           0.00860510
71     ថ្លៃ                           0.00850759
72     ហ៊ុន                           0.00839267
73     ឡើងវិញ                         0.00827217
74     ទេសចរណ៍                        0.00803221
75     លក់                            0.00763654
76     សម្តេច                         0.00749320
77     រថយន្ត                         0.00731901
78     គ្រួសារ                        0.00707062
79     ជំងឺ                           0.00681724
80     កូវីដ                          0.00652982
81     កិច្ចប្រជុំ                    0.00637903
82     ករណី                           0.00629637
83     ភាគី                           0.00619629
84     ចំណុច                          0.00613127
85     រក្សា                          0.00603923
86     ទិញ                            0.00575933
87     រស់                            0.00572763
88     អត់                            0.00553169
89     ពួកគាត់                        0.00539882
90     សុវត្ថិភាព                     0.00514763
91     ប្រឈម                          0.00490251
92     គម្រោង                         0.00487950
93     រៀល                            0.00452960
94     អាជ្ញាធរ                       0.00446291
95     កុមារ                          0.00444022
96     ប្រជាពលរដ្ឋ                    0.00422478
97     ធនធាន                          0.00419854
98     ប៉ះពាល់                        0.00406782
99     ទីផ្សារ                        0.00389353
100    នយោបាយ                         0.00383475

Actual features saved: 100

============================================================

Category: technology
------------------------------
Documents in category: 2000

Rank   Feature                        Weight      
--------------------------------------------------
1      ក្រុមហ៊ុន                      0.29568405
2      រថយន្ត                         0.22482841
3      ទូរស័ព្ទ                       0.12161555
4      ប្រព័ន្ធ                       0.09092464
5      ប្រទេស                         0.06853793
6      ម៉ាស៊ីន                        0.06739823
7      ផលិត                           0.06110050
8      លក់                            0.06100256
9      ទីផ្សារ                        0.06089323
10     ប្រភេទ                         0.04899532
11     អគ្គិសនី                       0.04878923
12     ផលិតផល                         0.04687946
13     គ្រឿង                          0.04126652
14     ពិភពលោក                        0.04070059
15     ដៃ                             0.03782017
16     ថាមពល                          0.03671138
17     សុវត្ថិភាព                     0.03471583
18     យោង                            0.03317977
19     សហរដ្ឋ                         0.03132508
20     កម្លាំង                        0.03000998
21     ខាងមុខ                         0.02995492
22     ប្រភព                          0.02985212
23     សង្គម                          0.02816309
24     ផ្លូវ                          0.02699758
25     ទិញ                            0.02335561
26     ថ្លៃ                           0.02317852
27     ចំណុច                          0.02137608
28     គម្រោង                         0.02130881
29     នាយក                           0.02102295
30     អាជីវកម្ម                      0.02057093
31     វិស័យ                          0.01843108
32     ពាណិជ្ជកម្ម                    0.01829289
33     ក្រសួង                         0.01801600
34     ខ្សែ                           0.01757257
35     រោងចក្រ                        0.01687130
36     ម្ចាស់                         0.01472912
37     កើនឡើង                         0.01469227
38     ប៉ះពាល់                        0.01407024
39     អះអាង                          0.01402603
40     កំពូល                          0.01364217
41     តំបន់                          0.01344130
42     រដ្ឋាភិបាល                     0.01260180
43     ធនាគារ                         0.01248183
44     រឿង                            0.01244748
45     វិនិយោគ                        0.01244280
46     សេដ្ឋកិច្ច                     0.01217003
47     ករណី                           0.01198962
48     ក្រោម                          0.01187425
49     ជន                             0.01186180
50     រក្សា                          0.01172440
51     គ្រាប់                         0.01168332
52     ចំណូល                          0.01164165
53     រដ្ឋ                           0.01132558
54     ដោយសារ                         0.01118782
55     អភិវឌ្ឍន៍                      0.01083079
56     ជំរុញ                          0.01079788
57     ជាតិ                           0.01029884
58     ប្រសិទ្ធភាព                    0.01003198
59     ឡើងវិញ                         0.01001210
60     សកម្មភាព                       0.00959225
61     ប្រឆាំង                        0.00949391
62     ពាក់ព័ន្ធ                      0.00948019
63     ប្រធាន                         0.00908525
64     អត់                            0.00904082
65     អគ្គ                           0.00888135
66     ទំនិញ                          0.00876294
67     ប្រជាជន                        0.00863831
68     ហិរញ្ញវត្ថុ                    0.00847295
69     កូន                            0.00842211
70     កុមារ                          0.00838203
71     អន្តរជាតិ                      0.00800783
72     ក្មេង                          0.00771614
73     មូលដ្ឋាន                       0.00740698
74     ពិធី                           0.00733405
75     បទល្មើស                        0.00731605
76     ថ្លែង                          0.00730670
77     កំណើន                          0.00710217
78     បរិស្ថាន                       0.00679981
79     សហគមន៍                         0.00649677
80     មាស                            0.00645177
81     ប្រជាពលរដ្ឋ                    0.00640018
82     ផ្ទះ                           0.00631384
83     វគ្គ                           0.00578861
84     សត្វ                           0.00569725
85     រដ្ឋមន្ត្រី                    0.00561387
86     ភាគី                           0.00557892
87     ស្ថាប័ន                        0.00543801
88     យុវជន                          0.00527791
89     នយោបាយ                         0.00527475
90     ភ្ញៀវ                          0.00492257
91     ឈ្នះ                           0.00482207
92     សមាជិក                         0.00466553
93     រាជ                            0.00463262
94     អាស៊ាន                         0.00462464
95     កីឡា                           0.00442173
96     គ្រួសារ                        0.00440432
97     ជំងឺ                           0.00430355
98     ផ្សាយ                          0.00423154
99     សម្តេច                         0.00419536
100    ធនធាន                          0.00389171

Actual features saved: 100

============================================================

